timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1622924679446,274,FindFlight-89,200,Ok,jp@gc - OrderTicket 1-3,text,true,,735,666,9,9,http://localhost:8090/WebTours/welcome.pl?page=search,274,0,0
1622924679720,273,FindFlight-90,200,Ok,jp@gc - OrderTicket 1-6,text,true,,1729,669,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,273,0,0
1622924679720,273,FindFlight-90,200,Ok,jp@gc - OrderTicket 1-3,text,true,,1729,669,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,273,0,0
1622924679994,275,FindFlight-91,200,Ok,jp@gc - OrderTicket 1-6,text,true,,4435,670,9,9,http://localhost:8090/WebTours/reservations.pl?page=welcome,275,0,0
1622924679446,274,FindFlight-89,200,Ok,jp@gc - OrderTicket 1-4,text,true,,735,665,9,9,http://localhost:8090/WebTours/welcome.pl?page=search,274,0,0
1622924679994,275,FindFlight-91,200,Ok,jp@gc - OrderTicket 1-3,text,true,,4435,670,9,9,http://localhost:8090/WebTours/reservations.pl?page=welcome,275,0,0
1622924679720,273,FindFlight-90,200,Ok,jp@gc - OrderTicket 1-4,text,true,,1729,668,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,273,0,0
1622924679994,275,FindFlight-91,200,Ok,jp@gc - OrderTicket 1-4,text,true,,4435,669,9,9,http://localhost:8090/WebTours/reservations.pl?page=welcome,275,0,0
1622924679720,785,ClickLogin,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-7,,true,,3687,2035,9,9,null,0,0,0
1622924679720,785,FindFlight,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-9,,true,,6899,2005,9,9,null,0,0,0
1622924679720,785,FindFlight,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-8,,true,,6899,2002,9,9,null,0,0,0
1622924679720,273,ClickLogin-83,200,Ok,jp@gc - OrderTicket 1-7,text,true,,816,738,9,9,http://localhost:8090/WebTours/login.pl,273,0,0
1622924679720,273,FindFlight-89,200,Ok,jp@gc - OrderTicket 1-9,text,true,,735,666,9,9,http://localhost:8090/WebTours/welcome.pl?page=search,273,0,0
1622924679720,273,FindFlight-89,200,Ok,jp@gc - OrderTicket 1-8,text,true,,735,665,9,9,http://localhost:8090/WebTours/welcome.pl?page=search,273,0,0
1622924679993,276,ClickLogin-85,200,Ok,jp@gc - OrderTicket 1-7,text,true,,1142,646,9,9,http://localhost:8090/WebTours/login.pl?intro=true,276,0,0
1622924679993,276,FindFlight-90,200,Ok,jp@gc - OrderTicket 1-9,text,true,,1729,669,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,276,0,0
1622924680269,236,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-7,text,true,,1729,651,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,236,0,0
1622924679993,276,FindFlight-90,200,Ok,jp@gc - OrderTicket 1-8,text,true,,1729,668,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,276,0,0
1622924680269,236,FindFlight-91,200,Ok,jp@gc - OrderTicket 1-9,text,true,,4435,670,9,9,http://localhost:8090/WebTours/reservations.pl?page=welcome,236,0,0
1622924680269,236,FindFlight-91,200,Ok,jp@gc - OrderTicket 1-8,text,true,,4435,669,9,9,http://localhost:8090/WebTours/reservations.pl?page=welcome,236,0,0
1622924679720,785,FindFlight,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-1,,true,,6899,2002,9,9,null,0,0,0
1622924679720,785,FindFlight,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-2,,true,,6899,2005,9,9,null,0,0,0
1622924679720,273,FindFlight-89,200,Ok,jp@gc - OrderTicket 1-1,text,true,,735,665,9,9,http://localhost:8090/WebTours/welcome.pl?page=search,273,0,0
1622924679720,273,FindFlight-89,200,Ok,jp@gc - OrderTicket 1-2,text,true,,735,666,9,9,http://localhost:8090/WebTours/welcome.pl?page=search,273,0,0
1622924679993,276,FindFlight-90,200,Ok,jp@gc - OrderTicket 1-1,text,true,,1729,668,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,276,0,0
1622924679993,276,FindFlight-90,200,Ok,jp@gc - OrderTicket 1-2,text,true,,1729,669,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,276,0,0
1622924680269,236,FindFlight-91,200,Ok,jp@gc - OrderTicket 1-1,text,true,,4435,669,9,9,http://localhost:8090/WebTours/reservations.pl?page=welcome,236,0,0
1622924680269,236,FindFlight-91,200,Ok,jp@gc - OrderTicket 1-2,text,true,,4435,670,9,9,http://localhost:8090/WebTours/reservations.pl?page=welcome,236,0,0
1622924680505,847,FindFlight,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-7,,true,,6899,2002,9,9,null,0,1,0
1622924680505,212,FindFlight-89,200,Ok,jp@gc - OrderTicket 1-7,text,true,,735,665,9,9,http://localhost:8090/WebTours/welcome.pl?page=search,212,0,0
1622924680717,424,FindFlight-90,200,Ok,jp@gc - OrderTicket 1-7,text,true,,1729,668,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,424,0,0
1622924681142,211,FindFlight-91,200,Ok,jp@gc - OrderTicket 1-7,text,true,,4435,669,9,9,http://localhost:8090/WebTours/reservations.pl?page=welcome,211,0,0
1622924679993,214,FindFlightContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-5,,true,,2620,1005,9,9,null,0,2009,0
1622924682002,214,FindFlightContinue-98,200,Ok,jp@gc - OrderTicket 1-5,text,true,,2620,1005,9,9,http://localhost:8090/WebTours/reservations.pl,214,0,0
1622924682216,138,RndOrderContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-5,,true,,453428,312,9,9,null,0,0,25
1622924682216,138,RndOrderContinue-106,200,OK,jp@gc - OrderTicket 1-5,text,true,,453428,312,9,9,http://ciscobinary.openh264.org/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip,52,0,25
1622924680269,278,FindFlightContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-3,,true,,2606,1003,9,9,null,0,2003,0
1622924680269,278,FindFlightContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-6,,true,,2620,1006,9,9,null,0,2003,0
1622924682272,278,FindFlightContinue-98,200,Ok,jp@gc - OrderTicket 1-6,text,true,,2620,1006,9,9,http://localhost:8090/WebTours/reservations.pl,278,0,0
1622924682272,278,FindFlightContinue-98,200,Ok,jp@gc - OrderTicket 1-3,text,true,,2606,1003,9,9,http://localhost:8090/WebTours/reservations.pl,278,0,0
1622924680269,278,FindFlightContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-4,,true,,2609,1005,9,9,null,0,2003,0
1622924682272,278,FindFlightContinue-98,200,Ok,jp@gc - OrderTicket 1-4,text,true,,2609,1005,9,9,http://localhost:8090/WebTours/reservations.pl,278,0,0
1622924682550,140,RndOrderContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-3,,true,,453428,312,9,9,null,0,1,19
1622924682550,140,RndOrderContinue-106,200,OK,jp@gc - OrderTicket 1-3,text,true,,453428,312,9,9,http://ciscobinary.openh264.org/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip,39,0,19
1622924682354,352,RndOrderContinue-118,200,Ok,jp@gc - OrderTicket 1-5,text,true,,5583,897,9,9,http://localhost:8090/WebTours/reservations.pl,352,0,0
1622924682706,0,RndOrderContinue-118-0,200,OK,jp@gc - OrderTicket 1-5,text,true,,2625,0,9,9,null,0,0,0
1622924682354,352,RndOrderContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-5,,true,,5583,897,9,9,null,352,0,0
1622924682550,184,RndOrderContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-4,,true,,453428,312,9,9,null,0,1,25
1622924682550,184,RndOrderContinue-106,200,OK,jp@gc - OrderTicket 1-4,text,true,,453428,312,9,9,http://ciscobinary.openh264.org/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip,53,0,25
1622924682550,201,RndOrderContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-6,,true,,453428,312,9,9,null,0,0,25
1622924682550,201,RndOrderContinue-106,200,OK,jp@gc - OrderTicket 1-6,text,true,,453428,312,9,9,http://ciscobinary.openh264.org/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip,53,0,25
1622924680505,271,FindFlightContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-1,,true,,2628,1014,9,9,null,0,2003,0
1622924680505,271,FindFlightContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-9,,true,,2611,1007,9,9,null,0,2003,0
1622924682507,271,FindFlightContinue-98,200,Ok,jp@gc - OrderTicket 1-1,text,true,,2628,1014,9,9,http://localhost:8090/WebTours/reservations.pl,271,0,0
1622924682507,271,FindFlightContinue-98,200,Ok,jp@gc - OrderTicket 1-9,text,true,,2611,1007,9,9,http://localhost:8090/WebTours/reservations.pl,271,0,0
1622924680505,271,FindFlightContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-2,,true,,2622,1015,9,9,null,0,2003,0
1622924682507,271,FindFlightContinue-98,200,Ok,jp@gc - OrderTicket 1-2,text,true,,2622,1015,9,9,http://localhost:8090/WebTours/reservations.pl,271,0,0
1622924680505,271,FindFlightContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-8,,true,,2608,1003,9,9,null,0,2003,0
1622924682507,271,FindFlightContinue-98,200,Ok,jp@gc - OrderTicket 1-8,text,true,,2608,1003,9,9,http://localhost:8090/WebTours/reservations.pl,271,0,0
1622924682779,147,RndOrderContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-9,,true,,453428,312,9,9,null,0,0,19
1622924682779,147,RndOrderContinue-106,200,OK,jp@gc - OrderTicket 1-9,text,true,,453428,312,9,9,http://ciscobinary.openh264.org/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip,40,0,19
1622924682779,167,RndOrderContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-1,,true,,453428,312,9,9,null,0,0,25
1622924682779,167,RndOrderContinue-106,200,OK,jp@gc - OrderTicket 1-1,text,true,,453428,312,9,9,http://ciscobinary.openh264.org/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip,53,0,25
